id,date,Temperature,Humidity
140,2015-02-02 14:19:00,23.7,26.272
141,2015-02-02 14:19:59,23.718,26.29
142,2015-02-02 14:21:00,23.73,26.23
143,2015-02-02 14:22:00,23.7225,26.125
144,2015-02-02 14:23:00,23.754,26.2
145,2015-02-02 14:23:59,23.76,26.26
146,2015-02-02 14:25:00,23.73,26.29
147,2015-02-02 14:25:59,23.754,26.29
148,2015-02-02 14:26:59,23.754,26.35
149,2015-02-02 14:28:00,23.736,26.39
150,2015-02-02 14:29:00,23.745,26.445
151,2015-02-02 14:30:00,23.7,26.56
152,2015-02-02 14:31:00,23.7,26.6
153,2015-02-02 14:31:59,23.7,26.7
154,2015-02-02 14:32:59,23.7,26.774
155,2015-02-02 14:34:00,23.7,26.89
156,2015-02-02 14:35:00,23.7,26.9725
157,2015-02-02 14:36:00,23.6,26.89
158,2015-02-02 14:37:00,23.64,26.976
159,2015-02-02 14:38:00,23.65,27.05
160,2015-02-02 14:38:59,23.64,27.1
161,2015-02-02 14:39:59,23.6,27.16
162,2015-02-02 14:41:00,23.6,27.236
163,2015-02-02 14:42:00,23.6,27.29
164,2015-02-02 14:43:00,23.6,27.33
165,2015-02-02 14:44:00,23.6,27.34
166,2015-02-02 14:44:59,23.625,27.3925
167,2015-02-02 14:45:59,23.6,27.39
168,2015-02-02 14:47:00,23.6,27.412
169,2015-02-02 14:48:00,23.6,27.5
