"id","date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy" 	
"140","2015-02-02 14:19:00",23.7,26.272,585.2,749.2,0.00476416302416414,1
"141","2015-02-02 14:19:59",23.718,26.29,578.4,760.4,0.00477266099212519,1
"142","2015-02-02 14:21:00",23.73,26.23,572.666666666667,769.666666666667,0.00476515255246541,1
"143","2015-02-02 14:22:00",23.7225,26.125,493.75,774.75,0.00474377335599685,1
"144","2015-02-02 14:23:00",23.754,26.2,488.6,779,0.00476659399998615,1
"145","2015-02-02 14:23:59",23.76,26.26,568.666666666667,790,0.00477933243163454,1
"146","2015-02-02 14:25:00",23.73,26.29,536.333333333333,798,0.00477613633274892,1
"147","2015-02-02 14:25:59",23.754,26.29,509,797,0.00478309370839038,1
"148","2015-02-02 14:26:59",23.754,26.35,476,803.2,0.00479409399662041,1
"149","2015-02-02 14:28:00",23.736,26.39,510,809,0.00479618871038935,1
"150","2015-02-02 14:29:00",23.745,26.445,481.5,815.25,0.00480888622067716,1
"151","2015-02-02 14:30:00",23.7,26.56,481.8,824,0.0048167933677358,1
"152","2015-02-02 14:31:00",23.7,26.6,475.25,832,0.00482410383674874,1
"153","2015-02-02 14:31:59",23.7,26.7,469,845.333333333333,0.00484238075533563,1
"154","2015-02-02 14:32:59",23.7,26.774,464,852.4,0.00485590636128976,1
"155","2015-02-02 14:34:00",23.7,26.89,464,861,0.00487710983719076,1
